연월,산업,시도,값
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",울산,70
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",세종시,19
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",경기도,733
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",강원도,48
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",충청북도,62
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",충청남도,90
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",전라북도,143
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",전라남도,75
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",경상북도,130
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",경상남도,227
2025-08,"협회 및 단체, 수리 및 기타 개인 서비스업",제주도,28
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,전 체,38
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,서울,9
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,부산,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,대구,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,인천,7
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,광주,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,대전,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,울산,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,세종시,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,경기도,18
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,강원도,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,충청북도,4
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,충청남도,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,전라북도,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,전라남도,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,경상북도,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,경상남도,0
2025-08,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,제주도,0
2025-08,국제 및 외국기관,전 체,40
2025-08,국제 및 외국기관,서울,0
2025-08,국제 및 외국기관,부산,0
2025-08,국제 및 외국기관,대구,0
2025-08,국제 및 외국기관,인천,0
2025-08,국제 및 외국기관,광주,0
2025-08,국제 및 외국기관,대전,0
2025-08,국제 및 외국기관,울산,0
2025-08,국제 및 외국기관,세종시,0
2025-08,국제 및 외국기관,경기도,40
2025-08,국제 및 외국기관,강원도,0
2025-08,국제 및 외국기관,충청북도,0
2025-08,국제 및 외국기관,충청남도,0
2025-08,국제 및 외국기관,전라북도,0
2025-08,국제 및 외국기관,전라남도,0
2025-08,국제 및 외국기관,경상북도,0
2025-08,국제 및 외국기관,경상남도,0
2025-08,국제 및 외국기관,제주도,0
2025-09,"농업, 임업 및 어업",전 체,7086
2025-09,"농업, 임업 및 어업",서울,63
2025-09,"농업, 임업 및 어업",부산,97
2025-09,"농업, 임업 및 어업",대구,30
2025-09,"농업, 임업 및 어업",인천,229
2025-09,"농업, 임업 및 어업",광주,28
2025-09,"농업, 임업 및 어업",대전,8
2025-09,"농업, 임업 및 어업",울산,34
2025-09,"농업, 임업 및 어업",세종시,26
2025-09,"농업, 임업 및 어업",경기도,1057
2025-09,"농업, 임업 및 어업",강원도,301
2025-09,"농업, 임업 및 어업",충청북도,188
2025-09,"농업, 임업 및 어업",충청남도,980
2025-09,"농업, 임업 및 어업",전라북도,839
2025-09,"농업, 임업 및 어업",전라남도,1544
2025-09,"농업, 임업 및 어업",경상북도,531
2025-09,"농업, 임업 및 어업",경상남도,791
2025-09,"농업, 임업 및 어업",제주도,340
2025-09,광업,전 체,112
2025-09,광업,서울,9
2025-09,광업,부산,0
2025-09,광업,대구,0
2025-09,광업,인천,0
2025-09,광업,광주,0
2025-09,광업,대전,2
2025-09,광업,울산,0
2025-09,광업,세종시,1
2025-09,광업,경기도,10
2025-09,광업,강원도,58
2025-09,광업,충청북도,13
2025-09,광업,충청남도,2
2025-09,광업,전라북도,2
2025-09,광업,전라남도,2
2025-09,광업,경상북도,12
2025-09,광업,경상남도,1
2025-09,광업,제주도,0
2025-09,제조업,전 체,54932
2025-09,제조업,서울,1195
2025-09,제조업,부산,2456
2025-09,제조업,대구,1787
2025-09,제조업,인천,2553
2025-09,제조업,광주,1071
2025-09,제조업,대전,304
2025-09,제조업,울산,1806
2025-09,제조업,세종시,312
2025-09,제조업,경기도,17613
2025-09,제조업,강원도,1064
2025-09,제조업,충청북도,4387
2025-09,제조업,충청남도,4387
2025-09,제조업,전라북도,2161
2025-09,제조업,전라남도,2169
2025-09,제조업,경상북도,4492
2025-09,제조업,경상남도,6913
2025-09,제조업,제주도,262
2025-09,"전기, 가스, 증기 및 공기조절 공급업",전 체,98
2025-09,"전기, 가스, 증기 및 공기조절 공급업",서울,1
2025-09,"전기, 가스, 증기 및 공기조절 공급업",부산,0
2025-09,"전기, 가스, 증기 및 공기조절 공급업",대구,0
2025-09,"전기, 가스, 증기 및 공기조절 공급업",인천,2
2025-09,"전기, 가스, 증기 및 공기조절 공급업",광주,0
2025-09,"전기, 가스, 증기 및 공기조절 공급업",대전,0
2025-09,"전기, 가스, 증기 및 공기조절 공급업",울산,0
2025-09,"전기, 가스, 증기 및 공기조절 공급업",세종시,0
2025-09,"전기, 가스, 증기 및 공기조절 공급업",경기도,15
2025-09,"전기, 가스, 증기 및 공기조절 공급업",강원도,5
2025-09,"전기, 가스, 증기 및 공기조절 공급업",충청북도,2
2025-09,"전기, 가스, 증기 및 공기조절 공급업",충청남도,38
2025-09,"전기, 가스, 증기 및 공기조절 공급업",전라북도,8
2025-09,"전기, 가스, 증기 및 공기조절 공급업",전라남도,12
2025-09,"전기, 가스, 증기 및 공기조절 공급업",경상북도,1
2025-09,"전기, 가스, 증기 및 공기조절 공급업",경상남도,12
2025-09,"전기, 가스, 증기 및 공기조절 공급업",제주도,2
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",전 체,935
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",서울,54
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",부산,45
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",대구,27
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",인천,87
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",광주,2
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",대전,8
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",울산,12
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",세종시,15
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",경기도,327
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",강원도,21
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",충청북도,46
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",충청남도,70
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",전라북도,24
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",전라남도,44
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",경상북도,75
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",경상남도,69
2025-09,"수도, 하수 및 폐기물 처리, 원료 재생업",제주도,9
2025-09,건설업,전 체,7054
2025-09,건설업,서울,1627
2025-09,건설업,부산,338
2025-09,건설업,대구,265
2025-09,건설업,인천,430
2025-09,건설업,광주,242
2025-09,건설업,대전,198
2025-09,건설업,울산,194
2025-09,건설업,세종시,18
2025-09,건설업,경기도,1253
2025-09,건설업,강원도,224
2025-09,건설업,충청북도,232
2025-09,건설업,충청남도,350
2025-09,건설업,전라북도,245
2025-09,건설업,전라남도,571
2025-09,건설업,경상북도,353
2025-09,건설업,경상남도,412
2025-09,건설업,제주도,102
2025-09,도매 및 소매업,전 체,8073
2025-09,도매 및 소매업,서울,966
2025-09,도매 및 소매업,부산,572
2025-09,도매 및 소매업,대구,278
2025-09,도매 및 소매업,인천,406
2025-09,도매 및 소매업,광주,141
2025-09,도매 및 소매업,대전,77
2025-09,도매 및 소매업,울산,173
2025-09,도매 및 소매업,세종시,13
2025-09,도매 및 소매업,경기도,2665
2025-09,도매 및 소매업,강원도,233
2025-09,도매 및 소매업,충청북도,343
2025-09,도매 및 소매업,충청남도,405
2025-09,도매 및 소매업,전라북도,344
2025-09,도매 및 소매업,전라남도,296
2025-09,도매 및 소매업,경상북도,355
2025-09,도매 및 소매업,경상남도,661
2025-09,도매 및 소매업,제주도,145
2025-09,운수 및 창고업,전 체,6178
2025-09,운수 및 창고업,서울,3100
2025-09,운수 및 창고업,부산,327
2025-09,운수 및 창고업,대구,30
2025-09,운수 및 창고업,인천,292
2025-09,운수 및 창고업,광주,61
2025-09,운수 및 창고업,대전,259
2025-09,운수 및 창고업,울산,125
2025-09,운수 및 창고업,세종시,6
2025-09,운수 및 창고업,경기도,1305
2025-09,운수 및 창고업,강원도,39
2025-09,운수 및 창고업,충청북도,37
2025-09,운수 및 창고업,충청남도,85
2025-09,운수 및 창고업,전라북도,77
2025-09,운수 및 창고업,전라남도,111
2025-09,운수 및 창고업,경상북도,104
2025-09,운수 및 창고업,경상남도,193
2025-09,운수 및 창고업,제주도,27
2025-09,숙박 및 음식점업,전 체,5574
2025-09,숙박 및 음식점업,서울,2034
2025-09,숙박 및 음식점업,부산,375
2025-09,숙박 및 음식점업,대구,48
2025-09,숙박 및 음식점업,인천,342
2025-09,숙박 및 음식점업,광주,38
2025-09,숙박 및 음식점업,대전,34
2025-09,숙박 및 음식점업,울산,38
2025-09,숙박 및 음식점업,세종시,28
2025-09,숙박 및 음식점업,경기도,1012
2025-09,숙박 및 음식점업,강원도,144
2025-09,숙박 및 음식점업,충청북도,157
2025-09,숙박 및 음식점업,충청남도,111
2025-09,숙박 및 음식점업,전라북도,662
2025-09,숙박 및 음식점업,전라남도,119
2025-09,숙박 및 음식점업,경상북도,159
2025-09,숙박 및 음식점업,경상남도,142
2025-09,숙박 및 음식점업,제주도,131
2025-09,정보통신업,전 체,1438
2025-09,정보통신업,서울,531
2025-09,정보통신업,부산,99
2025-09,정보통신업,대구,50
2025-09,정보통신업,인천,28
2025-09,정보통신업,광주,46
2025-09,정보통신업,대전,51
2025-09,정보통신업,울산,16
2025-09,정보통신업,세종시,7
2025-09,정보통신업,경기도,291
2025-09,정보통신업,강원도,22
2025-09,정보통신업,충청북도,26
2025-09,정보통신업,충청남도,33
2025-09,정보통신업,전라북도,41
2025-09,정보통신업,전라남도,49
2025-09,정보통신업,경상북도,65
2025-09,정보통신업,경상남도,61
2025-09,정보통신업,제주도,22
2025-09,금융 및 보험업,전 체,802
2025-09,금융 및 보험업,서울,341
2025-09,금융 및 보험업,부산,81
2025-09,금융 및 보험업,대구,8
2025-09,금융 및 보험업,인천,2
2025-09,금융 및 보험업,광주,5
2025-09,금융 및 보험업,대전,25
2025-09,금융 및 보험업,울산,9
2025-09,금융 및 보험업,세종시,0
2025-09,금융 및 보험업,경기도,80
2025-09,금융 및 보험업,강원도,30
2025-09,금융 및 보험업,충청북도,23
2025-09,금융 및 보험업,충청남도,20
2025-09,금융 및 보험업,전라북도,25
2025-09,금융 및 보험업,전라남도,33
2025-09,금융 및 보험업,경상북도,41
2025-09,금융 및 보험업,경상남도,60
2025-09,금융 및 보험업,제주도,19
2025-09,부동산업,전 체,2250
2025-09,부동산업,서울,427
