직종코드,직종명,대분류코드,대분류명,부산공고수
232900,기타 사회복지 전문가 및 관련 종사원,2,교육·법률·사회복지·경찰·소방·군인,5
415200,패션 디자이너,4,예술·디자인·방송·스포츠,5
531500,일식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,5
531900,기타 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,5
561300,거리 및 공공장소 청소원(환경 미화원),5,미용·여행·숙박·음식·경비·돌봄·청소,5
561900,기타 청소 관련 종사원(놀이공원 등),5,미용·여행·숙박·음식·경비·돌봄·청소,5
817300,운송장비 조립원(항공기·선박·철도기관차·전동차 등 검사원 포함),8,설치·정비·생산,5
823301,"주조원(목형원, 원형원, 주형원)",8,설치·정비·생산,5
852103,고무 프레스기 조작원,8,설치·정비·생산,5
872100,정육 가공원 및 도축원,8,설치·정비·생산,5
883300,목제품 제조 관련 종사원,8,설치·정비·생산,5
904100,양식원,9,농림어업,5
016900,기타 건설·전기 및 생산 관련 관리자,0,경영·사무·금융·보험,4
027208,단순 경리 사무원,0,경영·사무·금융·보험,4
028405,자재·구매 사무원(음식료품),0,경영·사무·금융·보험,4
028504,생산관리 사무원(전기·전자·컴퓨터),0,경영·사무·금융·보험,4
028505,생산관리 사무원(음식료품),0,경영·사무·금융·보험,4
028506,생산관리 사무원(그 외 분야),0,경영·사무·금융·보험,4
029101,"일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)",0,경영·사무·금융·보험,4
133300,웹 개발자,1,연구·공학기술,4
135101,데이터 설계 및 프로그래머,1,연구·공학기술,4
140300,토목공학 기술자,1,연구·공학기술,4
153301,전자부품 개발 기술자 및 연구원,1,연구·공학기술,4
214400,기술 및 기능계 강사,2,교육·법률·사회복지·경찰·소방·군인,4
306902,운동처방사,3,보건·의료,4
307400,보건의료정보 관리사(의무기록사),3,보건·의료,4
512100,결혼 상담원 및 웨딩플래너,5,미용·여행·숙박·음식·경비·돌봄·청소,4
521200,여행 사무원,5,미용·여행·숙박·음식·경비·돌봄·청소,4
550201,간병인,5,미용·여행·숙박·음식·경비·돌봄·청소,4
612102,기계장비 기술영업원,6,영업·판매·운전·운송,4
613202,건설자재 영업원,6,영업·판매·운전·운송,4
615210,음식료품 판매원,6,영업·판매·운전·운송,4
622300,화물차 및 특수차 운전원,6,영업·판매·운전·운송,4
624101,일반 택배원(퀵서비스 제외),6,영업·판매·운전·운송,4
701900,기타 건설 관련 기능 종사원,7,건설·채굴,4
703200,"공업 배관공(플랜트,항공,선박,철도차량)",7,건설·채굴,4
813203,CNC 밀링기 조작원(NC 밀링기 조작원),8,설치·정비·생산,4
821100,금속가공 관련 제어 장치 조작원(용광로·용해로·금속가열로),8,설치·정비·생산,4
823300,주조원,8,설치·정비·생산,4
832906,영상·음향기기 등 기타 전기·전자 기기 설치·수리원,8,설치·정비·생산,4
834004,기타 전기·전자 설비 조작원,8,설치·정비·생산,4
836001,전기 부품·제품 조립·검사원,8,설치·정비·생산,4
862200,재단사,8,설치·정비·생산,4
872102,정육원,8,설치·정비·생산,4
890007,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",8,설치·정비·생산,4
013904,"조사, 인력공급·알선 및 기타 전문서비스 관리자(부서장)",0,경영·사무·금융·보험,3
014200,음식 서비스 관련 관리자,0,경영·사무·금융·보험,3
015100,영업 및 판매 관련 관리자,0,경영·사무·금융·보험,3
023200,세무사,0,경영·사무·금융·보험,3
023301,관세사,0,경영·사무·금융·보험,3
023401,감정평가사,0,경영·사무·금융·보험,3
024401,행사·이벤트 기획자,0,경영·사무·금융·보험,3
028105,관세 사무원,0,경영·사무·금융·보험,3
028201,도로 운송 사무원(배차사무 포함),0,경영·사무·금융·보험,3
028507,품질관리 사무원(건설),0,경영·사무·금융·보험,3
