대분류코드,대분류명,중분류코드,소분류코드,직종코드,직종명,부산공고수(자동분류분)
1,연구·공학기술,15,153,153200,반도체공학 기술자 및 연구원,
1,연구·공학기술,15,153,153300,전자공학 기술자 및 연구원,7
1,연구·공학기술,15,153,153301,전자부품 개발 기술자 및 연구원,1
1,연구·공학기술,15,153,153302,산업용 전자제품 개발 기술자 및 연구원,
1,연구·공학기술,15,153,153303,가전제품 개발 기술자 및 연구원,
1,연구·공학기술,15,153,153304,전자의료기기 개발 기술자 및 연구원,
1,연구·공학기술,15,153,153305,전자제어계측 기술자 및 연구원,2
1,연구·공학기술,15,153,153400,전기 및 전자공학 시험원,
1,연구·공학기술,15,154,154100,화학공학 기술자 및 연구원,1
1,연구·공학기술,15,154,154101,석유화학 기술자 및 연구원,
1,연구·공학기술,15,154,154102,고무·플라스틱 기술자 및 연구원,
1,연구·공학기술,15,154,154103,도료제품 기술자 및 연구원,
1,연구·공학기술,15,154,154104,화장품·비누제품 기술자 및 연구원,
1,연구·공학기술,15,154,154105,"의약품, 농약, 비료 등 기타 석유화학 기술자 및 연구원",
1,연구·공학기술,15,154,154200,화학공학 시험원,
1,연구·공학기술,15,155,155100,가스·에너지 기술자 및 연구원,
1,연구·공학기술,15,155,155101,가스 기술자 및 연구원,2
1,연구·공학기술,15,155,155102,"에너지공학 기술자 및 연구원(에너지, 탐사, 시추)",1
1,연구·공학기술,15,155,155200,가스 및 에너지 시험원,
1,연구·공학기술,15,155,155300,신재생에너지 기술자 및 연구원,1
1,연구·공학기술,15,155,155400,신재생에너지 시험원,
1,연구·공학기술,15,155,155500,환경공학 기술자 및 연구원,2
1,연구·공학기술,15,155,155501,대기 환경 기술자 및 연구원,3
1,연구·공학기술,15,155,155502,수질 환경 기술자 및 연구원,
1,연구·공학기술,15,155,155503,폐기물처리 기술자 및 연구원,
1,연구·공학기술,15,155,155504,환경영향 평가원,
1,연구·공학기술,15,155,155505,"소음진동, 토양 등 기타 환경 기술자 및 연구원",
1,연구·공학기술,15,155,155600,환경공학 시험원,
1,연구·공학기술,15,155,155700,산업보건 및 산업환경 관리 기술자,9
1,연구·공학기술,15,156,156100,섬유공학 기술자 및 연구원,
1,연구·공학기술,15,156,156200,섬유공학 시험원(섬유·염료),
1,연구·공학기술,15,157,157100,식품공학 기술자 및 연구원,1
1,연구·공학기술,15,157,157200,식품공학 시험원,
1,연구·공학기술,15,158,158100,소방공학 기술자 및 연구원,1
1,연구·공학기술,15,158,158101,소방설계 기술자,2
1,연구·공학기술,15,158,158102,소방시설·설비 시공 기술자,27
1,연구·공학기술,15,158,158103,소방공사 감리 기술자,1
1,연구·공학기술,15,158,158200,방재 기술자 및 연구원,1
1,연구·공학기술,15,158,158300,소방‧방재 및 산업안전 시험원,
1,연구·공학기술,15,158,158301,소방공학 시험원,
1,연구·공학기술,15,158,158302,비파괴 검사원,7
1,연구·공학기술,15,158,158400,산업안전 및 산업위험 관리 기술자,2
1,연구·공학기술,15,159,159100,제도사,10
1,연구·공학기술,15,159,159101,건축 제도사(캐드원),20
1,연구·공학기술,15,159,159102,토목 제도사(캐드원),
1,연구·공학기술,15,159,159103,기계·금속 제도사(캐드원),52
1,연구·공학기술,15,159,159104,전기·전자 장비 제도사(캐드원),6
1,연구·공학기술,15,159,159105,3D 프린팅 제도사,1
1,연구·공학기술,15,159,159106,기타 제도사(캐드원),2
1,연구·공학기술,15,159,159900,"기타 공학 관련 기술자 및 시험원(인쇄, 목재 등)",
2,교육·법률·사회복지·경찰·소방·군인,21,211,211100,대학 교수,
2,교육·법률·사회복지·경찰·소방·군인,21,211,211200,"대학 강사(초빙,겸임,BK,강의전담 교수 등 비전임교원 포함)",2
2,교육·법률·사회복지·경찰·소방·군인,21,212,212100,중·고등학교 교사,
2,교육·법률·사회복지·경찰·소방·군인,21,212,212101,국어 교사,1
2,교육·법률·사회복지·경찰·소방·군인,21,212,212102,수학 교사,3
2,교육·법률·사회복지·경찰·소방·군인,21,212,212103,사회 교사,
2,교육·법률·사회복지·경찰·소방·군인,21,212,212104,과학 교사,3
2,교육·법률·사회복지·경찰·소방·군인,21,212,212105,예체능 교사,
2,교육·법률·사회복지·경찰·소방·군인,21,212,212106,실업 교사,
2,교육·법률·사회복지·경찰·소방·군인,21,212,212107,외국어 교사,
2,교육·법률·사회복지·경찰·소방·군인,21,212,212108,진로·교양·기타 교사,
2,교육·법률·사회복지·경찰·소방·군인,21,212,212109,기타 중·고등학교 교사,
2,교육·법률·사회복지·경찰·소방·군인,21,212,212200,초등학교 교사,
2,교육·법률·사회복지·경찰·소방·군인,21,212,212300,특수교육 교사,2
2,교육·법률·사회복지·경찰·소방·군인,21,212,212900,기타 교사,
2,교육·법률·사회복지·경찰·소방·군인,21,213,213000,유치원 교사,7
2,교육·법률·사회복지·경찰·소방·군인,21,214,214100,외국어 강사,1
2,교육·법률·사회복지·경찰·소방·군인,21,214,214101,영어 강사,79
2,교육·법률·사회복지·경찰·소방·군인,21,214,214102,중국어 강사,5
2,교육·법률·사회복지·경찰·소방·군인,21,214,214103,일본어 강사,6
2,교육·법률·사회복지·경찰·소방·군인,21,214,214104,한국어 강사(다문화 언어지도사 포함),2
2,교육·법률·사회복지·경찰·소방·군인,21,214,214105,그 외 외국어 강사,
2,교육·법률·사회복지·경찰·소방·군인,21,214,214200,문리 강사,
2,교육·법률·사회복지·경찰·소방·군인,21,214,214201,국어 강사,15
2,교육·법률·사회복지·경찰·소방·군인,21,214,214202,수학 강사,73
2,교육·법률·사회복지·경찰·소방·군인,21,214,214203,사회 강사,
2,교육·법률·사회복지·경찰·소방·군인,21,214,214204,과학 강사,7
2,교육·법률·사회복지·경찰·소방·군인,21,214,214205,성인고시·입사시험 학원 강사,
2,교육·법률·사회복지·경찰·소방·군인,21,214,214206,독서·논술 강사,
2,교육·법률·사회복지·경찰·소방·군인,21,214,214300,정보통신기술 강사,1
2,교육·법률·사회복지·경찰·소방·군인,21,214,214301,"컴퓨터 기초 강사(OA, 워드, 엑셀, 컴퓨터활용능력 등)",
2,교육·법률·사회복지·경찰·소방·군인,21,214,214302,프로그래밍·웹·웹디자인·DB 강사,
2,교육·법률·사회복지·경찰·소방·군인,21,214,214400,기술 및 기능계 강사,4
2,교육·법률·사회복지·경찰·소방·군인,21,214,214401,디자인·캐드 강사,2
2,교육·법률·사회복지·경찰·소방·군인,21,214,214402,이미용·예식 강사,1
2,교육·법률·사회복지·경찰·소방·군인,21,214,214403,요리 강사,
2,교육·법률·사회복지·경찰·소방·군인,21,214,214404,기계·금속·전기·전자 강사,2
2,교육·법률·사회복지·경찰·소방·군인,21,214,214405,건설토목강사,1
