jobsCd,jobsNm,superCd,depth
026302,노무 사무원,017,3
026400,교육 및 훈련 사무원,017,3
026500,총무 사무원 및 대학 행정조교,017,3
026501,총무 및 일반 사무원,017,3
026502,병원행정 사무원(원무),017,3
026503,학교행정 사무원(교무),017,3
026504,대학 행정조교,017,3
026505,협회·회원단체 사무원,017,3
026506,기숙사사감 및 독서실·고시원 총무,017,3
026600,감사 사무원,017,3
215200,대학 교육 조교(연구 조교 포함),017,3
222000,법률 관련 사무원,017,3
018,회계·경리 사무,01,2
027100,회계 사무원,018,3
027101,재무 사무원,018,3
027102,회계 사무원(회계·세무 사무소),018,3
027103,회계 사무원(일반 사업체),018,3
027200,경리 사무원,018,3
027201,경리 사무원(무역),018,3
027202,경리 사무원(운수),018,3
027203,경리 사무원(건설),018,3
027204,경리 사무원(제조),018,3
027205,경리 사무원(회계·세무 사무소),018,3
027206,경리 사무원(일반사업체),018,3
027207,경리 사무원(아파트·빌딩),018,3
027208,단순 경리 사무원,018,3
019,무역·운송·자재·구매·생산·품질 사무,01,2
028100,무역 사무원,019,3
028101,무역 사무원(영어),019,3
028102,무역 사무원(중국어),019,3
028103,무역 사무원(일본어),019,3
028104,무역 사무원(기타 언어) ,019,3
028105,관세 사무원,019,3
028106,FTA 관리 사무원,019,3
028200,도로 및 철도운송 사무원,019,3
028201,도로 운송 사무원(배차사무 포함),019,3
028202,철도·지하철 운송 사무원,019,3
028300,수상 및 항공운송 사무원,019,3
028301,항공 운송 사무원,019,3
028302,수상 운송 사무원(해상 운송),019,3
028400,자재관리 사무원,019,3
028401,자재·구매 사무원(건설),019,3
028402,자재·구매 사무원(기계·자동차·금속),019,3
028403,자재·구매 사무원(화학·섬유·의류),019,3
028404,자재·구매 사무원(전기·전자·컴퓨터),019,3
028405,자재·구매 사무원(음식료품),019,3
028406,자재·구매 사무원(일반 사업체),019,3
028407,창고 관리원(자재 검수원 포함),019,3
028408,물류 사무원(물류 관리사),019,3
028500,생산 및 품질관리 사무원,019,3
028501,생산관리 사무원(건설),019,3
028502,생산관리 사무원(기계·자동차·금속),019,3
028503,생산관리 사무원(화학·섬유·의료),019,3
028504,생산관리 사무원(전기·전자·컴퓨터),019,3
028505,생산관리 사무원(음식료품),019,3
028506,생산관리 사무원(그 외 분야),019,3
028507,품질관리 사무원(건설),019,3
028508,품질관리 사무원(기계·자동차·금속),019,3
028509,품질관리 사무원(화학·섬유·의료),019,3
028510,품질관리 사무원(전기·전자·컴퓨터),019,3
028511,품질관리 사무원(음식료품),019,3
028512,품질관리 사무원(그 외 분야),019,3
028900,기타 운송 및 무역 사무원,019,3
01A,안내·접수·고객상담 사무,01,2
029100,안내·접수원 및 전화교환원,01A,3
029101,"일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)",01A,3
029102,예약·접수 사무원(A/S·고장·가입·신규발급·이전),01A,3
029103,호텔·콘도·숙박시설 프론트 사무원,01A,3
029104,데스크 안내원,01A,3
029105,방송 안내원,01A,3
029200,고객 상담 및 모니터 요원,01A,3
029201,콜센터 매니저,01A,3
029202,콜센터 상담원(콜센터·고객센터·CS센터),01A,3
029203,고객 상담원(학원·학습지·유학·이민),01A,3
029204,고객 상담원(금융·보험·부동산),01A,3
029205,고객 상담원(스포츠·예식·항공·여행·숙박·오락),01A,3
029206,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송),01A,3
029207,고객 상담원(백화점·마트),01A,3
029208,고객 상담원(인터넷·통신),01A,3
029209,고객 상담원(A/S·고장·제품사용),01A,3
029210,병원 코디네이터,01A,3
