사이트,회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,외부원본ID,수집시각,학력,급여,지역표기,출처
잡코리아부산,㈜교원구몬,청년취업우대/적금제도/교육전문가/주2-3일 근무가능,"영어, 중고등학교, 어린이집, 놀이방, 학습지교사, 과외교사, 영어, 방문교사, 보육교사, 학습지, 초등학교, 방과후교사, 유아교육, 유치원, 일본어, 방문교사, 일본어",경력무관,,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949295?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949295,2026-09-08 14:58:37,초대졸↑,"2,590~2,600만원",부산 동구,jobkorea
잡코리아부산,제이에스테크,"한화오션,삼성중공업,국방부 협력사 사내 화재감시 및 안전신호수 모집","선박, 제강, 제련, 제선, 조선",신입,정규직,부산,,2026-09-20,https://www.jobkorea.co.kr/Recruit/GI_Read/49949229?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949229,2026-09-08 14:58:37,학력무관,"2,600~2,650만원",부산 강서구,jobkorea
잡코리아부산,㈜데코인홈,주식회사 데코인홈 부산점 신규팀원 채용공고,"판매, 고객응대",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949211?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949211,2026-09-08 14:58:37,학력무관,230~240만원(월),부산 강서구,jobkorea
잡코리아부산,㈜파머스포터,동부산 롯데프리미엄아울렛 F&B 신규 오픈 브랜드 점장&홀매니저 채용,광고대행,경력,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949200?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949200,2026-09-08 14:58:37,학력무관,270~320만원(월),부산 기장군,jobkorea
잡코리아부산,한화라이프랩㈜,병원 인하우스 상주 보험설계사 모집 (한화라이프랩 소속),"보험영업, 보험영업",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949189?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949189,2026-09-08 14:58:37,학력무관,,부산 동래구,jobkorea
잡코리아부산,㈜파머스포터,"동부산 롯데프리미엄아울렛 F&B 신규 오픈 브랜드 헤드셰프, 셰프 채용",광고대행,경력,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949183?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949183,2026-09-08 14:58:37,학력무관,300~380만원(월),부산 기장군,jobkorea
잡코리아부산,부산휴대폰성지마징가텔레콤,부산 동종업계 최고 마징가텔레콤 영업사원 모집,"유통관리, 판매, 휴대전화영업, 전자제품대리점, 통신기기대리점, 매니저, 국내영업",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949180?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949180,2026-09-08 14:58:37,학력무관,250만원 이상(월),부산 금정구,jobkorea
잡코리아부산,부산휴대폰성지마징가텔레콤,부산 동종업계 최고 마징가텔레콤 CS 정직원 모집,"고객관리, 유통관리, 판매, 전자제품대리점, 통신기기대리점, 매니저",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949173?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949173,2026-09-08 14:58:37,학력무관,280만원 이상(월),부산 금정구,jobkorea
잡코리아부산,부산휴대폰성지마징가텔레콤,부산 동종업계 최고 마징가텔레콤 영업/매장관리직 모집,"유통관리, 판매, 휴대전화영업, 전자제품대리점, 통신기기대리점, 매니저, 국내영업",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949168?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949168,2026-09-08 14:58:37,학력무관,250만원 이상(월),부산 금정구,jobkorea
잡코리아부산,부산휴대폰성지마징가텔레콤,부산 업계 최고 마징가텔레콤 C/S 직원 모집,"고객관리, 통신기기대리점",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949124?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949124,2026-09-08 14:58:37,학력무관,280만원 이상(월),부산 부산진구,jobkorea
잡코리아부산,비스타종합건설,부산 인테리어 현장직 채용(경력직),"건축기사, 건축설계, 실내건축시공, 건축, 건축시공, 건축시공, 시공관리",경력5년↑,정규직,부산,,2026-09-30,https://www.jobkorea.co.kr/Recruit/GI_Read/49949122?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949122,2026-09-08 14:58:37,학력무관,450~500만원(월),부산 기장군,jobkorea
잡코리아부산,제이에스테크,"삼성중공업,한화오션,국방부 협력사 산업안전,화재감시 및 신호수사원 모집","제련, 조선, 제강, 철강",신입,정규직,부산,,2026-09-20,https://www.jobkorea.co.kr/Recruit/GI_Read/49949092?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949092,2026-09-08 14:58:37,학력무관,"2,600~2,650만원",부산 강서구,jobkorea
잡코리아부산,부산휴대폰성지마징가텔레콤,부산 업계 최고 마징가텔레콤 영업사원 모집,"판매, 휴대전화영업, 전자제품대리점, 통신기기대리점, 매니저, 국내영업",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949063?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949063,2026-09-08 14:58:37,학력무관,250만원 이상(월),부산 부산진구,jobkorea
잡코리아부산,다연코퍼레이션,[부산]게임운영담당자/재화관리/경매/게임하면서 일 하실분/손빠른사람환영,"홍보대행, 사이트관리, 온라인광고, 광고기획",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49949060?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49949060,2026-09-08 14:58:37,학력무관,300~350만원(월),부산 남구,jobkorea
잡코리아부산,앰비티글로벌,전산 사무 직원(물류센터) 모집합니다,"전산입력, 입출고관리, 물류관리, 물류센터, 물류센터, 재고관리, 물류, 택배",신입·경력,계약직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49948988?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49948988,2026-09-08 14:58:37,학력무관,,부산 강서구,jobkorea
잡코리아부산,㈜보리에,밀락더마켓 푸키스 주방 직원 채용,"한식당, 메뉴개발, 음식료, 카페, 양식당",경력무관,정규직,부산,,2026-10-08,https://www.jobkorea.co.kr/Recruit/GI_Read/49948986?rPageCode=SL&logpath=21&sn=6&sc=611,jobkorea:49948986,2026-09-08 14:58:37,학력무관,,부산 수영구,jobkorea
