토큰,직종코드,직종명,직종분류코드,직종분류명,출처,순도,건수,근거
소방시설관리사,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
설계직원,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
재가요양보호사채용합니다,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
방문요양,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,50%,2,정답 2건 중 1건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
회계사무소경력,,,01,경영·사무·금융·보험직,학습,100%,2,정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
표류물채집자,,,11,농림어업직,학습,100%,2,정답 2건 중 2건이 11 농림어업직 — 세세분류는 흩어진다
산소아세틸렌용접원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
토목감리,,,02,연구직 및 공학기술직,학습,100%,2,정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
청소년상담사,,,03,교육·법률·사회복지·경찰·소방직 및 군인,학습,100%,2,정답 2건 중 2건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
단순작업자,,,10,설치·정비·생산직,학습,50%,2,정답 2건 중 1건이 10 설치·정비·생산직 — 세세분류는 흩어진다
철강회사철판제품생산원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
언어치료사,,,04,보건·의료직,학습,100%,2,정답 2건 중 2건이 04 보건·의료직 — 세세분류는 흩어진다
검수원,,,01,경영·사무·금융·보험직,학습,50%,2,정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
요양병원조리사,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
노인요양보호사,,,06,미용·여행·숙박·음식·경비·청소직,학습,100%,2,정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
주스병내용물선별원,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
수산물가공생산직,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
화물하역원,,,08,운전·운송직,학습,100%,2,정답 2건 중 2건이 08 운전·운송직 — 세세분류는 흩어진다
제조단순생산직,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
식품,,,10,설치·정비·생산직,학습,100%,2,정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
